Product ,Product Synonym,Combination,Route,Dose Form,Dose Qualification,Strength,Unit of Presentation,Immediate Packaging,Pack Size,Outer Packaging,Manufacturer,Brand,UC1,"UC2 
(Product)","UC3 
(Route)","UC4 
(form)","UC5 
(qualification)",UC6 (strength),"UC7 
(unit)",UC8 (immediate),"UC9 
(pack size)",UC10 (outer),UC11 (manufacturer),UC12 (brand),RxNav,WHO EML Product,WHO EML Item,NZULM,NZULM item,UNSPSC,,,,,,,,,,,,,
Abacavir,ABC,,Oral,Solution,,20mg per mL,240mL,,,,,,933f3f00,c7750265,b49ec300,888e7a00,,db3d2000,358b04bf,,,,,,190521,6.4.2.1,,10740371000116108,10740391000116107,51342501,,,,,,,,,,,,,
Abacavir,ABC,,Oral,Tablet,,300mg,,,,,,,933f3f00,c7750265,b49ec300,945b5500,,3590a4bf,,,,,,,190521,6.4.2.1,6.4.2.1,10740371000116108,,51342501,,,,,,,,,,,,,
Abacavir/Lamivudine,,c7750265/493bb97e,Oral,Tablet,Dispersible,120mg/60mg,,,,,,,933f3f00,10c9701f,4a20c400,4d4c7700,c6555e00,4502643e,,,,,,,614534,6.4.2.4,6.4.2.4,20019461000116109,,51343801,,,,,,,,,,,,,
Abacavir/Lamivudine,,c7750265/493bb97e,Oral,Tablet,Dispersible,60mg/30mg,,,,,,,933f3f00,10c9701f,4a20c400,4d4c7700,c6555e00,373004bf,,,,,,,614534,6.4.2.4,,20019461000116109,,51343801,,,,,,,,,,,,,
Abacavir/Lamivudine,,c7750265/493bb97e,Oral,Tablet,,600mg/300mg,,,,,,,933f3f00,10c9701f,4a20c400,4d4c7700,,4695943e,,,,,,,614534,6.4.2.4,,20019461000116109,10386031000116103,51343801,,,,,,,,,,,,,
Acetazolamide,,,Oral,Tablet,,250mg,,,,,,,933f3f00,33d71824,073b3100,0b9c3d00,,373324bf,,,,,,,167,21.4,21.4,10203891000116107,10203911000116105,51141501,,,,,,,,,,,,,
Acetic Acid,,,Topical,Solution,,2%,15mL,,,,,,933f3f00,7c8c2b5b,6e5f7a00,66e85500,,36e874bf,e4edcb00,,,,,,168,28,28,10009501000116107,,51471602,,,,,,,,,,,,,
Acetylcysteine,,,Oral,Solution,,100mg per mL,1mL,,,,,,933f3f00,c8ba31a5,69fe0c00,ca5ce600,,35a214bf,ddc16200,,,,,,197,4.2,4.2,10009291000116104,,51162701,,,,,,,,,,,,,
Acetylcysteine,,,Oral,Solution,,200mg per mL,1mL,,,,,,933f3f00,c8ba31a5,69fe0c00,ca5ce600,,35a724bf,f72aec00,,,,,,197,4.2,4.2,10009291000116104,,51162701,,,,,,,,,,,,,
Acetylcysteine,,,Oral,Solution,,200mg per mL,4mL,,,,,,933f3f00,c8ba31a5,69fe0c00,ca5ce600,,35a724bf,80cdff00,,,,,,197,4.2,4.2,10009291000116104,,51162701,,,,,,,,,,,,,
Acetylcysteine,,,Parenteral,Solution,,200mg per mL,10mL,,,,,,933f3f00,c8ba31a5,dcd49f00,fbf0c600,,c7757000,35c2f4bf,,,,,,197,4.2,4.2,10009291000116104,,51162701,,,,,,,,,,,,,
Acetylsalicylic Acid,Aspirin,,Oral,Tablet,,100mg,,,,,,,933f3f00,cf00cc3f,0396a900,c2bec800,,35d384bf,,,,,,,1191,"2.1, 7.1, 12.5.1, 29.3","2.1, 7.1, 12.5.1, 29.3",10010681000116105,44362701000116107,51143103,,,,,,,,,,,,,
Acetylsalicylic Acid,Aspirin,,Oral,Tablet,,300mg,,,,,,,933f3f00,cf00cc3f,0396a900,c2bec800,,35de24bf,,,,,,,1191,"2.1, 7.1, 12.5.1, 29.3","2.1, 7.1, 29.3",10010681000116105,10077721000116108,51143103,,,,,,,,,,,,,
Acetylsalicylic Acid,Aspirin,,Oral,Tablet,,500mg,,,,,,,933f3f00,cf00cc3f,0396a900,c2bec800,,35e654bf,,,,,,,1191,"2.1, 7.1, 12.5.1, 29.3","2.1, 7.1, 29.3",10010681000116105,10212361000116104,51143103,,,,,,,,,,,,,
